duration_minutes,duration_seasons,type,title,date_added,release_year,rating,description,show_id,director,country,cast,listed_in
46,2,Movie,Bad Day for the Cut,2017-07-21,1997.0,TV-Y7,"In the harshest weather, rookie and veteran heavy recovery operators fight to keep southern Ontario's busy, treacherous highways clear and safe.",5737514,Aaron Woolf,Iceland,Femi Adebayo,Horror Movies
148,12,TV Show,Baahubali: The Beginning (Tamil Version),2017-10-05,1982.0,TV-MA,"Relocated to a new post and struggling to adjust, a police officer further complicates his life by falling for a woman he has little in common with.",26201605,Juani Libonatti,Finland,L,TV Comedies
142,12,TV Show,Hannibal Buress: Comedy Camisado,2017-05-08,2018.0,NR,The widely varied geology and dramatic landscapes in the continental crossroads of Arabia harbors a rich history and an abundance of wildlife.,8227031,Rod Blackhurst,Paraguay,Kwang-soo Lee,Reality TV
20,11,TV Show,Gabriel and the Mountain,2017-01-20,1986.0,UR,"The last of his family line, Olaf Schubert doesn't have time for a girlfriend but dutifully searches for one when his father demands offspring.",60369151,Stéphane Berla,Dominican Republic,Evan Deverian,Movies
135,11,Movie,1920,2017-08-05,2017.0,PG-13,"When four young wizards team up to take jobs across the kingdom, they forge a bond more powerful than any magic and grow stronger with every mission.",71386019,Jesse Moss,Taiwan,John Paul Tremblay,Kids' TV
54,15,Movie,Abominable Christmas,2019-03-27,2005.0,TV-PG,"In the wake of trauma and abuse, three Hasidic Jews face ostracism, anxiety and danger as they attempt to leave their ultra-Orthodox community.",53663093,Corey Grant,Senegal,Keith Lucas,TV Action & Adventure
224,9,Movie,No Tomorrow,2019-03-31,1962.0,TV-G,"As the parents of three unmarried daughters, a humble cook and his wife contend with the challenges of matchmaking and social expectations.",70939982,Osman Ali,China,Paula Echevarría,Action & Adventure
25,4,TV Show,Gerald's Game,2019-07-12,1967.0,G,"On Halloween night, inside a dilapidated apartment building, Art the Clown stalks his victims, slicing and slaughtering in terrifying silence.",66811305,Kevin MacDonald,Egypt,Misaki Kuno,Documentaries
116,13,TV Show,One More Shot,2017-03-03,1989.0,TV-G,"After her father dies and her husband goes missing, Kim Seo-hui teams up with detective Jo Tae-sik and joins the National Assembly.",67345635,Ralph Macchio,Liechtenstein,Pablo Cedrón,Crime TV Shows
38,14,TV Show,Servant of the People,2017-09-19,2016.0,PG,"In 1950s Makassar, the life of a devoted mother is upended when another woman enters her husband's life.",56748004,Ana Kokkinos,Panama,Michael Douglas,Anime Features
119,6,Movie,Street Flow,2019-04-18,2000.0,TV-Y7-FV,"Based on the audio diaries of academic and theologian John Hull, this film offers an impressionistic re-creation of his slow descent into blindness.",4281249,Mike Myhre,Liechtenstein,Helen Mirren,TV Action & Adventure
191,11,TV Show,Barbra: The Music ... The Mem'ries ... The Magic!,2018-08-29,2007.0,TV-PG,"Comedy titan Dave Chappelle caps a wild year with two stand-up specials packed with scorching new material, self-reflection and tough love.",913359,Christopher Nolen,Lebanon,Cam Clarke,Romantic TV Shows
181,9,Movie,Searching for Sugar Man,2017-07-17,1973.0,TV-G,A promising high school basketball player has his eye on an Ivy League scholarship. But his father's secret addictions could ruin everything.,58884422,Sam Loh,Ukraine,Mallika Dua,Docuseries
168,5,TV Show,Andhadhun,2019-10-29,1984.0,TV-PG,"When things don't go her way during a shooting for her new show, a top actress runs away in an old van that guides her on a time-traveling journey.",41362513,C.J. Wallis,Turkey,Jeff Dunham,Stand-Up Comedy
171,5,Movie,Anne with an E,2018-05-26,1973.0,NR,The eccentric Willy Wonka opens the doors of his candy factory to five lucky kids who learn the secrets behind his amazing confections.,29628018,Sushrut Jain,Liechtenstein,Richard Roxburgh,TV Action & Adventure
176,5,Movie,Peasants Rebellion,2016-05-08,1991.0,NC-17,"High schooler Haruna befriends loner Yamada, then is drawn into the tangled relationship between him, a model and the girl who loves him unreasonably.",48954924,Paul Tanter,Saudi Arabia,Freeway Rick Ross,Kids' TV
100,5,Movie,Restless Creature: Wendy Whelan,2017-06-16,1945.0,TV-PG,"A time quake propels Wang Dadong into the future, where he encounters a classmate named King who presides over the KO One.",57287215,Ajithkumar,Turkey,Dèlia Brufau,TV Action & Adventure
142,3,Movie,Balu Mahi,2013-10-08,1993.0,UR,"Originally polar opposites, an American fashion student and the daughter of an industry mogul form an everlasting bond and start a rock band in Milan.",951587,Noël Wells,Malaysia,Kai Calhoun,TV Dramas
156,3,TV Show,Star-Crossed,2018-10-26,2005.0,TV-14,Wildlife biologist Liz Bonnin explores the natural wonders of India in this series that reveals the species and cultures unique to this ancient land.,12503887,Ari Levinson,Bulgaria,Marion Lambert,TV Comedies
41,6,Movie,Fullmetal Alchemist: Brotherhood,2019-01-31,1994.0,NC-17,"While hosting a shipboard holiday for relatives and friends, a wealthy but dysfunctional family must face the ugly truths under their flawless facade.",79636965,Mastan Alibhai Burmawalla,Turkey,Kimberley Wong,Docuseries
28,4,Movie,Love Around,2017-09-24,1962.0,TV-MA,Wayward Prince Hal must turn from carouser to warrior king as he faces hostilities from inside and outside the castle walls in the battle for England.,74825610,Pawan Kripalani,Hong Kong,Faye Dunaway,Movies
174,5,Movie,Withdrawn,2019-09-20,2017.0,TV-14,The scientists of Jurassic World create a captivating and terrifying new creature that loves hot dogs. But what happens when the hot dogs run out?,61482916,Prakash Jha,Botswana,Chiara Aurelia,Thrillers
119,8,TV Show,Top 10 Secrets and Mysteries,2019-02-15,1979.0,G,"At the remote farmhouse where she once witnessed a traumatic childhood event, a young woman develops a grisly fascination with violence.",61760827,Aziz Mirza,Indonesia,Sam Kinison,TV Comedies
160,9,Movie,The Flash,2018-08-04,1947.0,TV-Y7,"Fifteen years after the Second Impact, Shinji Ikari joins his father's group NERV as one of several teenage mecha pilots fighting the monstrous Angels.",59623508,Julio Medem,United Kingdom,Arya,TV Dramas
138,11,Movie,Jo Koy: Live from Seattle,2018-06-27,1925.0,PG,"When an internet-obsessed teen develops a rare illness that forces her to move to a remote town, she must navigate her relationships without technology.",57835288,Rick Morales,Luxembourg,Téa Leoni,Stand-Up Comedy
113,15,Movie,DreamWorks Spooky Stories,2018-10-29,1943.0,TV-PG,"Two best friends put their careers and marriages on the line when they launch a business hosting outrageous, anything-goes bachelor parties in Hungary.",27890242,Fritz Ofner,Nigeria,Samuel L. Jackson,TV Sci-Fi & Fantasy
124,10,TV Show,Ana e Vitória,2018-01-18,1974.0,TV-PG,"Displaced by Hurricane Maria, three Puerto Rican women navigate their families' uncertain futures as their federal housing aid in New York expires.",73278385,T.J. Martin,Slovakia,Joaquín Furriel,International Movies
93,11,Movie,Inhuman Kiss,2014-10-21,2002.0,TV-Y7,"A 1950s housewife goes to Rio de Janeiro to meet up with her husband, only to learn he's deserted her, but decides to stay and open a bossa nova club.",77677242,Onur Bilgetay,South Africa,Kathy Murphy,Kids' TV
160,11,Movie,A Perfect Ending,2019-10-17,2013.0,NR,"Destiny brings Mecnun and Leyla together as newborns, and again years later. Despite unexpected turns in Mecnun's zany life, Leyla remains a constant.",19679872,Leopoldo Aguilar,Paraguay,Drew Davis,Spanish-Language TV Shows
224,6,Movie,While We're Young,2018-09-01,1971.0,TV-MA,"In 2029, the elite police squad Illang combats a terrorist group opposing reunification of the two Koreas. But another enemy may be lurking nearby.",49513589,Rita Coburn Whack,Argentina,Teo Planell,Classic Movies
25,3,TV Show,Cut Bank,2017-05-26,1955.0,TV-14,This biopic of Russian cosmonaut Yuri Gagarin follows his rise from childhood poverty to his selection and training for the 1961 Vostok mission.,54537396,Sidheswar Shukla,Canada,Ted Williams,Sci-Fi & Fantasy
15,12,TV Show,Running Shaadi,2019-01-16,1992.0,TV-PG,"Back in Bondi Beach, where she grew up, DC Tori Lustigman investigates a gay man's murder and finds a link to her brother's death decades earlier.",66119805,Robert O. Peters,Czech Republic,Enyinna Nwigwe,TV Comedies
74,10,TV Show,Kaakan,2018-11-01,2013.0,PG,"A secret marriage unites two families – one wealthy and traditional, the other bankrupt and modern – and is threatened by the resulting conflicts.",19248296,Theo Davies,China,Lisa Sanders,Docuseries
51,9,TV Show,Chef & My Fridge,2016-06-13,1956.0,TV-14,"After his wife's death, an overworked engineer struggles to care for his son with autism, who regresses into a fantasy world to escape real-life bullying.",1486601,M.S. Prem Nath,Czech Republic,Grant Korgan,TV Action & Adventure
128,15,TV Show,The Command,2017-11-05,1975.0,TV-Y7-FV,"An eager young rookie joins the ragtag small-town police force led by his dad as they bumble, squabble and snort their way through a big drug case.",27784153,Clarence Yiu-leung Fok,Australia,Prateik,Movies
120,2,Movie,Awe,2017-06-05,1992.0,R,"Based on true events, this spine-chiller tells the story of a New England family who begins having encounters with spirits in their farmhouse.",31310389,L. Frazier,Bulgaria,Vishakha Singh,Documentaries
112,4,Movie,Sebastian Maniscalco: Stay Hungry,2016-12-08,1997.0,TV-14,"After getting tricked into working at a brothel, a medical student joins forces with two of her co-workers to fight their unscrupulous exploiters.",77679481,Gwyneth Horder-Payton,"United States,",Siddarth,Documentaries
193,1,TV Show,Mary Poppins Returns,2017-07-15,2013.0,TV-PG,Zack and Miri make and star in an adult film to bring in easy money. But their unspoken feelings for each other might threaten the whole enterprise.,58888773,Frank Coraci,Canada,Twinkle Khanna,Reality TV
102,11,Movie,Elizabeth at 90: A Family Tribute,2019-10-08,1963.0,TV-Y,Illusionist Derren Brown concocts a psychological experiment in which he tries to manipulate an ordinary person into taking a bullet for a stranger.,52542691,Van M. Pham,Belgium,Dylan Kuo,Documentaries
40,12,Movie,Mantostaan,2018-03-09,1976.0,UR,"When a con man tries to retrieve a bag of money, he swoons for a woman with ties to a notorious crew of criminals.",59679463,Martin Zandvliet,Cayman Islands,Sujith Sankar,TV Horror
10,15,TV Show,Cultivating the Seas: History and Future of the Full-Cycle Cultured Kindai Tuna,2018-03-01,1995.0,PG,"To fulfill her husband’s dream to build a home, a widow sends her five children to earn money in Cairo, where their poverty tests them at every turn.",68319325,Jay Roach,Chile,Rami Malek,Horror Movies
114,6,TV Show,You're Everything To Me,2019-07-21,1996.0,PG,"Obsessed with an aspiring writer, a charming bookstore manager goes to extreme measures to insert himself into her life.",51826047,Jean-Patrick Benes,Canada,Janelle Monáe,Classic & Cult TV
32,15,Movie,Jewel's Catch One,2016-09-30,1958.0,PG-13,"A cop full of self-doubt loses his gun five days before he's due to leave the force, and becomes an unexpected hero as he tries to retrieve it.",64494773,James Woodroffe,Dominican Republic,Armeena Rana Khan,Independent Movies
179,15,Movie,What Happens to My Family,2019-02-25,2013.0,G,"Hari Kondabolu breaks down identity politics, celebrity encounters, his mango obsession and more in an unpredictable stand-up comedy special.",3197775,Lee Yoon-jung,Qatar,Deven Bhojani,Sci-Fi & Fantasy
168,8,TV Show,Top Grier,2016-11-15,1991.0,TV-Y7,This anime adventure follows the battle between a saint of Athena and an avatar of Hades who's working on a painting that could destroy the world.,76717579,Michael Anderson,Cayman Islands,Ben Schwartz,Thrillers
155,5,TV Show,A Murder in the Park,2018-09-06,1993.0,TV-G,"A struggling math teacher holds down a second job to keep his family afloat. But when he receives a wedding invitation, he's determined to attend.",48656893,Raúl Arévalo,Somalia,Showtaro Morikubo,Cult Movies
105,9,TV Show,Thunderbolt,2019-03-06,2010.0,PG-13,"When an earthquake obliterates their cave, an unworldly prehistoric family is forced to journey through unfamiliar terrain in search of a new home.",41177383,Carlos Vermut,South Africa,Heidi Toini,Documentaries
51,10,Movie,Don 2,2016-12-19,1966.0,UR,"In a peaceful, rustic town, a retired officer and his family are mired in a murder mystery riddled with shocking, buried secrets.",26684533,Paul Raschid,Panama,Charlotte Le Bon,TV Dramas
41,11,Movie,Kiss the Girls,2017-01-01,2002.0,TV-G,"Jealous of the high regard in which his new wife holds their brother-in-law, a botany professor stages an elaborate prank that will even the score.",24708377,Colin Strause,Malaysia,Sananthachat Thanapatpisal,Comedies
95,2,Movie,Toon,2017-02-15,1977.0,TV-Y7,Three New York drag queens on their way to Hollywood for a beauty pageant get stranded in a small Midwestern town when their car breaks down.,23386883,Ashim Ahluwalia,Philippines,Gift Ngoepe,Independent Movies
158,15,Movie,Death Note,2018-01-25,1978.0,NR,"Featuring interviews and never-before-seen footage, this film tells the story behind John Lennon and Yoko Ono’s seminal 1971 album, “Imagine.”",63703106,Michael McNamara,Turkey,Bill Milner,Action & Adventure
24,1,TV Show,The Iron Lady,2017-07-01,2008.0,TV-PG,"As his esteem grows in the world of physics, Stephen Hawking's body is ravaged by ALS, forcing his increasing dependence on his devoted wife, Jane.",36111293,You-Jeong Chang,Japan,Chen Hanwei,Music & Musicals
103,8,Movie,Remember,2014-11-07,1982.0,TV-Y,"Waiting for news of her prisoner-of-war husband, a French woman in Nazi-occupied France reluctantly falls for a German officer quartering in her home.",11136777,Alma Har'el,Spain,Javed Jaffrey,Sports Movies
34,10,TV Show,Manto,2019-10-13,1925.0,TV-G,"After a young man charms the girl he loves into accepting his proposal, an accidental swap on their wedding day leads him to marry the wrong bride.",21753604,Elizabeth Wood,Dominican Republic,Jitendra Joshi,Dramas
78,13,Movie,Footprints in the Sand,2017-06-22,1984.0,R,"While investigating a kidnapping, an ex-cop sent to infiltrate a prison finds himself surrounded by dangerous felons who can't know his real identity.",27192868,Edwin,Switzerland,Yasmin Abdulaziz,Romantic TV Shows
108,3,TV Show,Men in Black II,2017-03-21,1967.0,TV-MA,"In this spritely tale, Tinker Bell and her friends set out to find free-spirited fairy Zarina after she makes off with some precious Blue Pixie Dust.",72825560,Oriol Paulo,Ghana,Spencer Locke,Reality TV
25,6,Movie,BoJack Horseman Christmas Special: Sabrina's Christmas Wish,2016-02-01,1990.0,TV-Y,"Wry yet thoughtful, comedian Ari Shaffir brings his edgy humor to two fast-paced stand-up specials about children and adulthood.",14442391,Yılmaz Erdoğan,United Kingdom,Geoffrey Jones,Kids' TV
191,13,Movie,Ugly Delicious,2016-03-25,1960.0,TV-14,"When French-African couple Paul and Sali discover the longed-for baby they are about to adopt is white, family chaos and confrontation ensue.",17519129,Michael Winterbottom,Liechtenstein,Randeep Hooda,Thrillers
64,13,Movie,Anesthesia,2016-08-05,1982.0,TV-G,"In 1979, single bohemian mom Dorothea, hoping to help her teen son find his place as a man, asks two young women to share their lives with him.",15412424,Jared Cohn,Mauritius,Somchai Kemglad,Classic Movies
181,2,Movie,Travelers,2017-09-12,1999.0,UR,"In the stand-up performance that made him a legend, comedian Denis Leary caustically holds forth on nonsmokers, vegetarians and other undesirables.",80938542,Alexandre Reinecke,Saudi Arabia,Raúl Fernández,TV Action & Adventure
119,1,Movie,Meet the Adebanjos,2016-12-04,1955.0,G,"Trapped in a lab and stuck in a time loop, a disoriented couple fends off masked raiders while harboring a new energy source that could save humanity.",65949331,Chris Kelly,Jordan,Ed Westwick,TV Shows
68,2,Movie,Accidentally in Love,2017-07-12,1979.0,NR,"Aided by designers and craftspeople, entrepreneur Sarah Moore rescues items bound for the garbage dump and turns them into valuable, unique objects.",6587261,Travis Zariwny,Bangladesh,Richy Müller,Romantic Movies
177,4,TV Show,All About Love,2018-06-15,1960.0,R,A master armorer and his team recreate parts of a knight's medieval armor and test its strength while rediscovering centuries-old metalworking secrets.,27950397,Puri Jagannadh,Malawi,Sandra Oh,TV Comedies
132,1,TV Show,Whitney Cummings: Can I Touch It?,2018-12-12,1925.0,UR,"After a one-night stand, Holly develops a dangerous obsession with Tyler and transfers to his high school, desperate to keep their ""romance"" alive.",35957806,Mateo Gil,Chile,Rocco Siffredi,TV Sci-Fi & Fantasy
88,12,TV Show,On Body and Soul,2016-12-08,1985.0,PG-13,"When their parents head out for the evening, Ethan and his little sister get the babysitter of their nightmares: a fledgling vampire named Sarah.",33048578,Benny Chan,Senegal,Aimee Carrero,Reality TV
200,9,Movie,Catching the Sun,2016-11-10,2003.0,PG,"Performing at a bar, Mexican stand-up comedian Mau Nieto dishes on his modest upbringing, his failed relationships and his attempts to stay sober.",32955662,Yanyong Kuruaungkoul,"United Kingdom,",Wyatt Cenac,Movies
123,4,Movie,Wake Up,2017-01-10,2018.0,TV-Y7-FV,"A love-challenged man and a woman he meets at a bookshop bar begin dating, but only at the shop – and without knowing anything about each other.",29457543,Elite Zexer,Netherlands,Fakkah Fuzz,TV Dramas
80,4,TV Show,Mark Gatiss: A Study in Sherlock,2018-12-20,1959.0,G,"Tragedy reunites childhood friends Sean, Dave and Jimmy when they're linked together in a murder investigation about Jimmy's teenage daughter.",71444901,Jon Garaño,Australia,Seung-woo Cho,TV Horror
180,12,Movie,What She Put on the Table,2015-12-21,1976.0,TV-Y7-FV,Love and academics get complicated at an all-male college that happens to be located next to an all-female high school.,75963904,Scott McAboy,Thailand,Clint Dyer,Kids' TV
228,3,TV Show,The Midas Touch,2019-05-25,2000.0,NR,Two young brothers encounter a singing bird who treats them to a musical reinterpretation of one of India’s most epic ancient tales.,19617229,Kristine Samuelson,Iran,Jessica Williams,Anime Series
76,4,Movie,That '70s Show,2019-02-28,1969.0,TV-MA,"In New York's Little Italy, a low-level hoodlum wrestles with loyalty to his mobster uncle, his faith and his friendship with an inveterate gambler.",45190153,John Bridcut,Czech Republic,Bront Palarae,Spanish-Language TV Shows
136,13,Movie,The Womanizer,2019-12-10,1975.0,TV-Y,"When her boyfriend is caught up in a Chilean coup, a young woman tries to free him from a prison camp posing as a commune by joining it voluntarily.",19540624,Taki Oldham,Thailand,Tye Sheridan,Reality TV
102,6,TV Show,Candy Jar,2018-02-09,1972.0,TV-Y7,"After relocating to a different town with her husband, a housewife begins to sense the existence of a mysterious presence in their new house.",52813792,Tig Notaro,Turkey,Paris Hilton,Classic Movies
150,4,TV Show,Mobile Suit Gundam UC,2018-09-02,1963.0,TV-Y7-FV,"Two brothers become partners in a modest nightclub and turn it into the hottest spot in town, but their exhilarating run of success comes at a price.",42944774,David Fairhead,Iran,Brené Brown,Children & Family Movies
110,2,TV Show,Three,2017-11-01,1984.0,TV-PG,"When the Sheriff of Nottingham takes his beloved captive, Robin Hood embarks on a daring rescue mission at the tyrant's castle.",7010235,Roy Campanella II,Dominican Republic,Yudai Chiba,Stand-Up Comedy
52,1,TV Show,Super Monsters Furever Friends,2016-04-25,1994.0,TV-PG,"Vying for a spot in the American Ballet Company, 12 dance students are ready to push their bodies and minds to the limit to realize their dreams.",5162657,Chris Bould,Chile,Salma Malhas,Stand-Up Comedy & Talk Shows
167,3,TV Show,"Sex, Explained",2019-07-04,1965.0,PG-13,A shocking assault inspires horrific violence when a group of teens encounters a girl from their school while camping in a remote spot.,38535921,Sushil Majumdar,Cayman Islands,Devi Couzigou,Crime TV Shows
115,9,Movie,Intelligence,2017-12-29,2000.0,TV-PG,"Many of the most popular taco styles have long, rich, little-known histories. Explore some of them in this eye-opening, mouth-watering food adventure.",53577899,Linda Mendoza,Germany,Wyatt Cenac,Classic Movies
27,7,Movie,Metro,2018-01-02,1960.0,PG-13,"Life is a series of awkward situations for comedy writer and mom Andrea, thanks to plenty of neuroses and a knack for sticking her foot in her mouth.",17176582,To-hoi Kong,Guatemala,Zhang Hanyu,Kids' TV
131,8,Movie,Mike Birbiglia: Thank God for Jokes,2019-01-24,1977.0,TV-14,A Christmas reunion becomes a gateway to the past in this three-part series that explores the intimate complexities of one family's history.,40992115,Paul W.S. Anderson,Luxembourg,Alejandro Awada,Children & Family Movies
23,10,Movie,Katt Williams: Kattpacalypse,2019-10-02,2015.0,NR,"Looking for a way out of his impoverished life, a lowly hotel waiter joins an underground fight club. Then he needs a way out of that.",21998497,J.F. Musial,Hungary,Theo James,TV Horror
113,12,Movie,Aliens Ate My Homework,2016-09-06,1925.0,TV-Y7-FV,A sister and brother with special powers are on the run from a mysterious organization that wants to take advantage of the siblings' gifts.,28362920,Michael Arias,Montenegro,Adam Andrianopolous,Dramas
24,13,Movie,Warrior,2016-09-17,2009.0,R,"Ohma Tokita enters a hidden world where corporate disputes are settled in brutal gladiator bouts. Forget the money, he just wants to fight – and win.",52026302,Krishna Vamshi,Nigeria,Anshuman Jha,Stand-Up Comedy & Talk Shows
312,5,TV Show,Lila & Eve,2018-05-30,2005.0,TV-MA,"In this dark comedy, a dysfunctional group of wannabe Basque terrorists awaits word about a new mission while Spain makes a run at the World Cup title.",66574296,Albert Sharpe,Mexico,Ryu Seung-ryong,Action & Adventure
133,3,TV Show,Brian Regan: Nunchucks and Flamethrowers,2019-08-30,2007.0,TV-Y7-FV,The film and television star riffs on life's many royal pains in this hourlong special taped at New York City's Hudson Theatre in 2001.,32195285,Saravana Rajendran,Netherlands,Tae-hyun Nam,TV Comedies
139,11,TV Show,The Spy,2019-03-29,1991.0,TV-G,Bubbles's plan to spread the true meaning of Christmas is dashed by Julian's wish to cash in on the holiday and Ricky's quest to meet the real Santa.,34571302,Lauren Hoekstra,Turkey,Lainie Kazan,Cult Movies
12,12,Movie,LEGO Friends: The Power of Friendship,2019-10-07,2013.0,NR,"Growing up in poverty and political turmoil, he found his way out in the ring. The early years of world-famous boxer Manny Pacquiao unfolds in this biopic.",23735531,Atul Malhotra,Slovakia,Lucien Jean-Baptiste,TV Dramas
170,11,TV Show,Godzilla,2018-08-19,2018.0,NR,"In this fast-paced actioner, two Miami narcotics cops are hot on the trail of a master crook who has snatched $100 million worth of heroin.",49778233,Gautier & Leduc,Argentina,Susanne Bartsch,Sports Movies
102,11,Movie,"Power Rangers Samurai: Christmas Together, Friends Forever (Christmas Special)",2019-05-19,1970.0,TV-Y,"A year after he left the Band of the Hawk, Guts rejoins them in an epic battle to vanquish the God Hand and save Griffith from a hellish fate.",50706800,Michael Kampa,Austria,Andy Lau,Comedies
86,11,Movie,A House of Blocks,2018-03-11,1963.0,NR,"When an unlikely porn actor falls for a woman outside the industry, he employs his co-stars as a stand-in traditional family to impress her father.",80929811,Jon J. Whelan,Japan,Maggie Civantos,Classic Movies
193,5,Movie,Stereo,2019-03-14,2013.0,TV-Y,"It's Christmas Eve in Pitchfork Pines, and the Super Monsters are joining forces to deck the halls, find Santa's missing reindeer and save the holiday!",77939179,Andrea Molaioli,Russia,Reggie Yates,Children & Family Movies
139,5,Movie,Hajwala 2: Mysterious Mission,2016-02-18,1966.0,G,"Still rebounding from a breakup, Jessica Day moves in with three single guys, all of whom are ready to help her understand the ways of the world.",39577211,Will Eubank,Liechtenstein,Chris Rock,Kids' TV
44,9,TV Show,Immoral Tales,2019-07-31,1962.0,TV-G,"Struggling to conceive, a couple in their 40s are almost out of options – until a sliver of hope arrives in the form of their visiting step-niece.",74348643,Gaëtan Brizzi,Ireland,Fumi Nikaido,Cult Movies
201,12,Movie,Darna Mana Hai,2015-10-10,2001.0,TV-Y7-FV,"To avert a disaster, Kara Danvers reveals her powers and true identity: She is Superman's cousin, now known as Supergirl, protector of National City.",3711584,Bruce W. Smith,Hungary,Byung-hun Lee,Romantic TV Shows
79,13,TV Show,"Houston, We Have a Problem!",2019-10-14,1925.0,NR,"When her late mother gifts her a key, Clara embarks on a dreamlike journey full of fantasy and conflict in this retelling of the holiday classic.",9869383,Harvey Lilley,South Africa,Rafał Rutkowski,Kids' TV
159,14,TV Show,Where's the Money,2018-05-26,2003.0,TV-Y,An Israeli counterterrorism soldier with a secretly fabulous ambition to become a Manhattan hairstylist will do anything to make his dreams come true.,37249912,Michael John Warren,Bangladesh,Emmanuelle Araújo,Dramas
141,4,Movie,The Music of Silence,2018-10-31,1994.0,TV-Y,"A department store mogul has his son work incognito in a menial job to prove his worthiness, while female co-workers teach him how normal people live.",76873868,Nancy Meyers,Chile,Matt Bomer,International TV Shows
139,13,Movie,The Rezort,2015-10-25,1958.0,TV-G,"A trio of siblings gets trapped in a secret temple, where they must navigate a risky obstacle course to make it out. Inspired by the ‘90s game show.",53721263,Luis Alberto Restrepo,Malta,Sarah Lancaster,British TV Shows
53,8,Movie,Lupin the 3rd: The Castle of Cagliostro: Special Edition,2018-06-28,2015.0,TV-Y7-FV,"Friends Proog and Emo live in a capricious, seemingly infinite machine with a sinister purpose in this experimental computer-animated short.",10691849,Bruce W. Smith,Romania,Ray Baker,Spanish-Language TV Shows
155,3,TV Show,Marching Orders,2019-03-16,1974.0,TV-Y7-FV,"After 11 years in Canada, young Meena returns to her native Pakistan for a family wedding and becomes romantically entangled with an adopted cousin.",79758104,Jonathan Glazer,China,Ray Stevenson,Thrillers
102,14,Movie,Sebastián Marcelo Wainraich,2019-01-28,2013.0,PG,"A poor family’s goat suddenly acquires divine status, sparking a widespread frenzy as everyone clamors to benefit from its unexpected celebrity.",9630734,Katherine Brooks,Morocco,Ryuichi Kijima,TV Comedies
163,11,Movie,Social Animals,2019-10-05,1956.0,TV-Y7-FV,"After an expensive night out, two flatmates get tangled in an overnight misadventure to recover their rent money to pay their dead landlord's daughter.",38495798,Ivan Sen,Ukraine,Claire Foy,Documentaries
117,13,Movie,The Protector,2017-08-14,1983.0,TV-Y7-FV,"Cast members, writers, producers and mental health professionals discuss some of the difficult issues and themes explored in ""13 Reasons Why.""",37196367,Beyoncé Knowles-Carter,Jordan,Kierston Wareing,Children & Family Movies
128,3,TV Show,Mujhse Shaadi Karogi,2018-09-08,1955.0,TV-Y7,An enemy immune to conventional arms has caused the collapse of civilization and humanity's only hope lies in a new living weapon: the God Arc.,52718828,Umesh Shukla,Venezuela,Todsapol Maisuk,Stand-Up Comedy
58,14,Movie,Sweeney Todd: The Demon Barber of Fleet Street,2015-09-15,1975.0,TV-14,"Based on the 2002 El Ayyat train accident, this drama begins 90 minutes before the explosion, following the lives of riders in the third-class cars.",3895375,Leanne Gater,Egypt,Roger Guenveur Smith,Romantic TV Shows
148,6,Movie,Amy Schumer: The Leather Special,2014-12-12,1980.0,G,"This award-winning, original documentary chronicles the race for market leadership in 3D printing, the next wave of technological evolution.",31113371,Mathew Orzel,Ukraine,Alejandro Awada,TV Action & Adventure
115,15,Movie,The Gospel of Luke,2018-08-18,2000.0,TV-MA,"Witness the incredible, decades-long friendship between Koko the gorilla and Penny Patterson, who taught Koko to communicate via sign language.",55378060,Keerthi,Romania,Yoshua Sudarso,International Movies
20,10,Movie,Tayo the Little Bus,2015-10-31,1942.0,PG,Competitors representing countries from around the world battle it out on a grueling obstacle course. Luis Ernesto Franco and Inés Sainz host.,26472085,Julio Soto Gurpide,Chile,Abir Chatterjee,Anime Series
107,10,TV Show,Vagabond,2016-10-28,1958.0,TV-Y7,"When his employee disappears in Singapore, Shyam travels from India to investigate the absence and becomes entangled in a deadly plot.",54606294,Joel Coen,Senegal,Somchai Kemglad,TV Horror
141,14,Movie,Only the Dead,2013-11-01,1963.0,PG,"The final holdout in her historic beachside building in Brazil, a retired music critic refuses to sell her apartment to developers bent on demolition.",51623840,Eduardo Mendoza de Echave,Venezuela,Christina Ricci,TV Horror
147,8,Movie,The Stranded,2018-12-12,1954.0,TV-PG,"Born amid poverty and limited women's rights in the village of Ratu, India, Deepika Kumari rose to become the No.1 female archer in the world at 18.",31736827,Alex Díaz,Senegal,Conor McGregor,Classic Movies
172,12,Movie,Prince Jai Aur Dumdaar Viru,2018-10-23,1960.0,R,"After investing in a shady deal that quickly falls apart, a morally flexible real estate agent involves his wife in a dangerous recovery plan.",48976580,Luke Kenny,Slovakia,Taksaorn Paksukcharern,Docuseries
139,11,TV Show,The Great British Baking Show,2017-08-22,2005.0,R,"Naomi and her gay best friend, Ely, have been inseparable since childhood, but their bond faces its biggest test yet when they fall for the same guy.",47122178,Ketan Mehta,Ukraine,Luis Ernesto Franco,British TV Shows
179,12,TV Show,Paint It Black,2017-01-18,2014.0,TV-14,"Featuring eight-time NBA All-Star Vince Carter, this documentary takes an in-depth look at his impact on pop culture and the Canadian basketball scene.",27123139,Ali Scher,Austria,Nick Thune,TV Sci-Fi & Fantasy
193,15,TV Show,Terrace House: Boys & Girls in the City,2019-07-02,1943.0,PG,"A new set of six men and women start their lives together under one roof. All they get is a fabulous home and a car. As always, there is no script.",27108792,Jennifer Westcott,Somalia,Àlex Monner,Horror Movies
